Book,Author,Date,Location,Clip
﻿The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:26 AM,55-56,The most impressive boundary's not a wall. It's not a manufactured thing at all. Moving towards it doesn't close the gap and nothing marks its presence on a map.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:26 AM,58,Caught and held',' but not with hands. Easily lost',' but rarely taken away.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:35 AM,64-65,Always moving',' never tired',' dreaded if they're not admired',' making herdsmen of the winds',' and worrying our countrymen.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, February 09\, 2015\, 04:35 AM,66,What can lift objects or hopelessly try',' but only when filled',' or',' lifeless',' it lies?
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:06 PM,18-19,In order to throw it',' you'll need a hand. It never goes far',' though',' and might not land.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:08 PM,29-30,We have kept ours from enemies and watched it grow from friends. We have covered it to be with those on whom our lives depend.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:09 PM,33-34,Some are quick to take it. Others must be coaxed. Those who choose to take it gain and lose the most.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Tuesday\, March 17\, 2015\, 01:10 PM,41-42,Has a mouth',' but cannot drink. Has a head',' but cannot think. Has a tongue',' but not a lung. Some are held and some are hung.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:10 PM,16,What can split itself before splitting something else?
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:10 PM,17,There are many like me buried in an old coffin',' but I was no one's child',' pet',' bone',' or valuable.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:13 PM,31,Guided to guide others',' makes trails where it goes',' gets shorter with age',' but won't burn or glow.
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:15 PM,45,What stalks the countryside with ears that cannot hear?
The Riddle Chest: 50 Original Riddles to Stump Your Brain,Sef Daystrom,Monday\, March 30\, 2015\, 08:15 PM,42-43,These are those who every king',' for all his gold and armies',' cannot have within his kingdom',' though his people may have many and find most of them agreeable.
Short-Stories,Various,Monday\, April 06\, 2015\, 03:01 AM,1492,obstreperous','
Short-Stories,Various,Monday\, April 06\, 2015\, 03:01 AM,Note Loc. 1492,i need to use this
Short-Stories,Various,Monday\, April 06\, 2015\, 03:02 AM,1492,obstreperous','
Short-Stories,Various,Monday\, April 06\, 2015\, 03:04 AM,1531,bichloride of mercury.
Short-Stories,Various,Monday\, April 06\, 2015\, 03:24 AM,1566,avoirdupois;
Short-Stories,Various,Monday\, April 06\, 2015\, 03:33 AM,1674,abstruse
Short-Stories,Various,Monday\, April 06\, 2015\, 03:34 AM,1675,abstruseness
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, May 10\, 2015\, 04:40 AM,229817-37,11For h the grace of God i has appeared',' bringing salvation j for all people',' 12training us to renounce ungodliness and k worldly passions',' and l to live self-controlled',' upright',' and godly lives in m the present age',' 13 n waiting for our blessed o hope',' the p appearing of the glory of our great q God and Savior Jesus Christ',' 14 r who gave himself for us to s redeem us from all lawlessness and t to purify for himself t a people for his own possession who are u zealous for good works.
The Holy Bible\, English Standard Version,Crossway Bibles,Sunday\, May 10\, 2015\, 04:43 AM,Note Loc. 229837,Kayla referenced this verse in her letter from the last houe lunch before her graduation (or commencement',' as Mrs. Brown would say). She was a great prefect',' and we will miss her. Goodbye Kayla
Welcome alicia,,Thursday\, May 14\, 2015\, 02:23 PM,3,Dear alicia','
Welcome alicia,,Thursday\, May 14\, 2015\, 02:23 PM,Note Loc. 3,think center edge
Of Course! The Greatest Collection Of Riddles & Brain Teasers For Expanding Your Mind,Zack Guido,Thursday\, May 14\, 2015\, 04:07 PM,n Page 31 | 648-61,figure out who owns the fish: The British man lives in the red house. The Swedish man has a dog for a pet. The Danish man drinks tea. The green house is to the left of the white house. The owner of the green house drinks coffee. The person that smokes Pall Mall cigarettes has a bird. The owner of the yellow house smokes Dunhill cigarettes. The person that lives in the middle house drinks milk. The Norwegian lives in the first house. The person that smokes Blend cigarettes lives next to the one that has a cat. The person that has a horse lives next to the one that smokes Dunhill cigarettes. The one that smokes Bluemaster cigarettes drinks beer. The German smokes Prince cigarettes. The Norwegian lives next to a blue house. The person that smokes Blend cigarettes has a neighbor that drinks water.
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, October 15\, 2015\, 02:14 AM,191911,even his own life','
The Holy Bible\, English Standard Version,Crossway Bibles,Thursday\, October 15\, 2015\, 02:14 AM,191914,come after
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, October 24\, 2015\, 04:08 AM,192179-82,“If you had faith like f a grain of mustard seed',' you could say to this g mulberry tree',' ‘Be uprooted and planted in the sea','’ and it would obey you.
The Holy Bible\, English Standard Version,Crossway Bibles,Saturday\, October 24\, 2015\, 04:08 AM,192196,we have only done what was our duty.’”
